

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:49669        0.0.0.0:0              LISTENING       4972
  TCP    127.0.0.1:49779        127.0.0.1:46624        TIME_WAIT       0
  TCP    127.0.0.1:50066        0.0.0.0:0              LISTENING       30220
  TCP    127.0.0.1:51443        127.0.0.1:51444        TIME_WAIT       0
  TCP    127.0.0.1:51760        127.0.0.1:51761        TIME_WAIT       0
  TCP    127.0.0.1:51793        127.0.0.1:51794        ESTABLISHED     45980
  TCP    127.0.0.1:51794        127.0.0.1:51793        ESTABLISHED     45980
  TCP    127.0.0.1:51843        127.0.0.1:51844        TIME_WAIT       0
  TCP    127.0.0.1:51976        127.0.0.1:8501         SYN_SENT        11788
  TCP    127.0.0.1:51977        127.0.0.1:8501         SYN_SENT        11788
  TCP    127.0.0.1:51978        127.0.0.1:8504         SYN_SENT        11788
  TCP    127.0.0.1:51979        127.0.0.1:8504         SYN_SENT        11788
  TCP    127.0.0.1:51980        127.0.0.1:8507         SYN_SENT        11788
  TCP    127.0.0.1:51981        127.0.0.1:8507         SYN_SENT        11788
  TCP    127.0.0.1:51984        127.0.0.1:8507         SYN_SENT        11788
  TCP    127.0.0.1:51985        127.0.0.1:8507         SYN_SENT        11788
  TCP    127.0.0.1:53433        127.0.0.1:62522        ESTABLISHED     33464
  TCP    127.0.0.1:53521        127.0.0.1:53522        TIME_WAIT       0
  TCP    127.0.0.1:53523        127.0.0.1:53524        TIME_WAIT       0
  TCP    127.0.0.1:53525        127.0.0.1:53526        TIME_WAIT       0
  TCP    127.0.0.1:55097        0.0.0.0:0              LISTENING       32592
  TCP    127.0.0.1:60771        127.0.0.1:60772        ESTABLISHED     11788
  TCP    127.0.0.1:60772        127.0.0.1:60771        ESTABLISHED     11788
  TCP    127.0.0.1:60773        127.0.0.1:60774        ESTABLISHED     40996
  TCP    127.0.0.1:60774        127.0.0.1:60773        ESTABLISHED     40996
  TCP    127.0.0.1:62522        0.0.0.0:0              LISTENING       4972
  TCP    127.0.0.1:62522        127.0.0.1:53433        ESTABLISHED     4972
  TCP    169.254.26.202:139     0.0.0.0:0              LISTENING       4
  TCP    169.254.203.250:139    0.0.0.0:0              LISTENING       4
  TCP    172.27.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       952
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2869              [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       15884
  TCP    [::]:49664             [::]:0                 LISTENING       1752
  TCP    [::]:49665             [::]:0                 LISTENING       1588
  TCP    [::]:49666             [::]:0                 LISTENING       2508
